ISBN           Title                                    Ed  Author(s)                                     Year  Price   
1083403429121  Operating Basics                          3  Bob Tanenbaum                                 2009   10.23
5992506758776  Mastering Computer Basics                 5  Harry Lee                                     2011   48.28
8031014255336  Game Fundamentals                         8  Charlie Patterson                             2004   82.57
0468450420233  Hacking Java Security                     3  Jenny Quicksilver & Charlie Silberschatz      2008   88.72
2294602264051  Advanced Operating Principles             8  Frank Null & Irene Ross                       1998   74.19
6807438329170  C++ Security                              9  Bob Tanenbaum                                 2008   77.73
5454853306445  Advanced Hardware Security                3  Jenny Lee & Frank Ross                        2010   98.53
1265406161048  C++ Fundamentals                          2  David Tanenbaum & Irene Ross                  1998   29.01
1700304317509  Developing Hardware Basics                9  Harry Silberschatz & Gerry Kurose             2005   77.87
5987917599670  Hacking C++ Basics                        7  Charlie Silberschatz & David Tanenbaum        1995   97.72
3151925769891  Diving into Game Concepts                 8  Frank Miller                                  2014   26.53
7219952414159  Developing Computer Principles            4  Bob Null                                      2007   30.19
0981847435677  Hacking Python Principles                 8  Irene Tanenbaum & Charlie Null                1998   78.13
6535846114509  Web Security                              5  Gerry Kurose                                  2014   24.99
7546061346238  Secure Principles                         4  Eve Patterson & Irene Null                    2001   91.68
7577842041354  Python Security                           3  David Lee & David Silberschatz                1998   18.44
4720263839608  Introduction to Web Systems               8  Harry Quicksilver & Harry Tanenbaum           2004   52.08
2546170544990  Diving into Game Principles               2  Jenny O'Reilly                                2008   75.10
1769738455900  Secure Principles                         6  Alice Null                                    2015   28.98
6587549457510  Hacking Operating Concepts                6  Jenny O'Reilly & Alice Silberschatz           1997   62.46
0631551665218  Introduction to Secure Networks           2  Alice Miller & Irene O'Reilly                 2018   10.64
6976581494246  Database Networks                         2  Irene Miller                                  2002   17.18
8123354693219  Python Networks                           6  Frank Silberschatz & David O'Reilly           2006   30.48
6738528744746  C++ Problems                              8  Charlie O'Reilly                              2014   87.16
0197426578387  Hacking Game Concepts                     3  Irene Lee                                     2012   90.55
9093630773561  Understanding Database Basics             7  Eve Null & Jenny Null                         2015    1.86
9560362123894  C++ Fundamentals                          4  Eve Ross & David Miller                       2015   71.06
5165554371848  Diving into Computer Problems             8  Jenny Null & Gerry Silberschatz               2006   55.38
2165492334946  Understanding Web Fundamentals            9  Charlie Null & Frank Miller                   2004   23.92
0622332026636  Diving into Java Problems                 9  Frank O'Reilly & Alice O'Reilly               1996   12.78
2877697950319  Diving into Java Fundamentals             3  Gerry Patterson                               1996   38.35
9194079062473  Diving into Java Systems                  7  Gerry Null                                    1994   64.01
1021137970106  Web Systems                               4  Eve O'Reilly & Eve Ross                       1994   20.26
5144369297763  Hardware Systems                          9  Alice Miller                                  2012    7.34
3431765691645  Java Networks                             8  David Kurose                                  2016   84.90
6021161196940  Developing Game Basics                    2  Harry Lee                                     2009   56.18
5886463225158  Understanding Python Principles           8  Frank Tanenbaum                               2008   34.70
6650189007779  Advanced Game Basics                      3  Gerry O'Reilly & Bob Tanenbaum                2013   21.73
9887788237703  Computer Basics                           2  Irene Ross                                    2018   75.30
0396521312726  Computer Basics                           8  Gerry Null                                    2015   55.41
9650180941585  Developing Secure Fundamentals            2  Alice Tanenbaum                               2005   64.43
3395117818601  Mastering C++ Networks                    7  Frank Tanenbaum & Frank Silberschatz          1991   75.15
8362109620426  Computer Security                         4  Harry Ross                                    2002   53.38
2708814852583  Developing Game Systems                   6  Gerry Miller                                  2009   61.86
7175527783191  Web Principles                            7  Irene O'Reilly & Jenny Ross                   1990   87.65
2147684538258  Secure Networks                           7  Jenny Patterson                               2011   71.95
7361562895229  Diving into Computer Problems             1  Harry Patterson                               2006    0.88
