ISBN           Title                                    Ed  Author(s)                                     Year  Price   
4170813745280  C++ Fundamentals                          6  Jenny Quicksilver & Gerry Lee                 2010    2.34
0046847611671  Hacking Web Networks                      1  Charlie O'Reilly & Eve Patterson              2006   58.79
3329265056651  Computer Security                         5  Charlie Lee                                   1996   85.75
9509383534792  Advanced Operating Principles             6  Irene Ross & David Kurose                     2011   74.96
5501598010991  Introduction to Web Fundamentals          1  Irene Lee & Charlie Kurose                    1992   12.92
7332811454166  Mastering Web Systems                     6  Charlie Miller                                2011   86.73
7330799107323  Diving into Secure Basics                 2  Irene Lee & David Quicksilver                 2006   45.48
8924718241696  Understanding Operating Basics            8  David Null                                    1997   16.57
8692119013285  Diving into Java Basics                   1  Bob Kurose & Harry Null                       2006   58.67
5111985530638  Advanced Web Fundamentals                 4  Jenny Miller & Bob Tanenbaum                  2006   77.14
7349958357612  Understanding Database Principles         3  Bob Null                                      2014   43.92
6003535430378  Hacking Web Principles                    2  Gerry Miller                                  2016   25.76
8109315938750  Diving into Database Fundamentals         4  Alice Ross                                    2002   27.96
7145343467964  Python Basics                             4  Bob Silberschatz & Gerry Silberschatz         1996   82.25
7683406320322  Operating Security                        6  Bob Miller                                    2000   35.27
3880594861699  Web Problems                              9  Irene Silberschatz                            2002   72.19
2388580666238  Introduction to Hardware Security         1  Gerry Null & Irene Quicksilver                1993   10.05
5772874830786  Mastering Java Networks                   7  Bob Ross & Eve Tanenbaum                      2008   29.94
6930213441871  Introduction to Computer Systems          5  David Silberschatz & Charlie Lee              1991   51.19
7015347244071  C++ Basics                                5  Gerry Null                                    2017   78.49
9421692602943  Diving into Python Principles             7  Jenny Quicksilver                             1993   20.76
9702690779685  Developing Web Concepts                   2  Irene Ross                                    1999   27.34
9783510001491  Advanced Python Principles                6  Irene Kurose & Irene Quicksilver              2014   18.63
5380343526369  Secure Principles                         6  Irene Ross & Jenny Null                       2011    0.45
0618685632391  Web Principles                            4  Jenny Miller & Frank Miller                   2010   71.12
8822324868762  Advanced Python Fundamentals              3  Alice Null & Charlie Lee                      1997   47.71
5392843295350  Understanding Web Fundamentals            7  Jenny Patterson                               2001    2.74
7355308278780  Computer Security                         8  Eve Patterson & Frank Null                    1996   43.67
4277400656024  Diving into Python Problems               6  Alice Miller                                  1998   18.07
4857126930223  Mastering Secure Principles               5  Frank Silberschatz                            2005   48.18
5729148620203  Database Concepts                         9  Frank Quicksilver                             2003   30.69
2073830796437  Hacking Python Security                   3  Harry Miller & Harry Silberschatz             1995   18.49
7762573149858  Operating Problems                        6  Irene Kurose & Charlie Ross                   2006   56.16
6041057457523  Advanced Python Problems                  9  Charlie Silberschatz                          2007   64.11
6870408301910  Understanding Secure Systems              3  Eve Null & Eve Quicksilver                    2007   35.38
0722159701740  Hardware Principles                       3  Charlie Tanenbaum & Irene Ross                2002    8.97
